# filmdec_pos_rosetta records=54799
eid,slot,bitCursor,x,y,z,sighex
1073742336,512,76,43.1776,8.6045,0.5031,ce2336bee8815100c815374729ac0fba
1073742336,512,70,43.1776,8.6045,0.5031,102a201902a728e53581f8440c8c0059
1073742341,517,160,-3.5752,16.1211,-1.2180,3581f8440c8c005902a4287b358006c8
1073742342,518,256,-3.7548,15.3986,-1.2180,02a4287b358006c8634ff0941d1251bd
1073742336,512,70,43.1362,8.6045,0.5031,102a201902a728e53581f8440c8c0059
1073742336,512,70,43.1362,8.6045,0.5031,102a201902a728e53581f9440c8c0059
1073742341,517,160,-3.5614,16.1211,-1.2180,3581f9440c8c005902a4e879358006ed
1073742342,518,256,-3.7272,15.3847,-1.2180,02a4e879358006ed236bf2941d1251bd
1073742336,512,70,43.0947,8.6183,0.5031,102a201902a728e53581f9440c8c0059
1073742336,512,70,43.0947,8.6183,0.5031,10223001640a8fa4e4d60031d0009fd2
1073742340,516,166,-3.7410,16.7046,-1.2180,e4d60031d0009fd220544032054e51ca
1073742341,517,287,-3.5614,16.1211,-1.2180,6b03f488191800b2054ad0ee6b000d47
1073742342,518,383,-3.6857,15.3708,-1.2180,054ad0ee6b000d47465fe9283a24a37c
1073742336,512,70,43.0671,8.6322,0.5031,10223001640a8fa4e4d60031d0009fd2
1073742336,512,134,43.0671,8.6322,0.5031,10223001640a8fa4e4d6003186817fda
1073742340,516,230,-3.7410,16.7046,-1.2180,e4d6003186817fda20544032054ed1ca
